2017-06-07T13:24:08.618+0800 I -        [conn19] end connection 127.0.0.1:58101 (2 connections now open)
2017-06-07T13:24:08.695+0800 I REPL     [replExecDBWorker-0] Starting replication storage threads
2017-06-07T13:24:08.876+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58104 #20 (2 connections now open)
2017-06-07T13:24:08.876+0800 I NETWORK  [conn20] received client metadata from 127.0.0.1:58104 conn20: { driver: { name: "NetworkInterfaceASIO-Replication", version: "3.4.4" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "16.6.0" } }
2017-06-07T13:24:08.879+0800 I REPL     [replication-0] Starting initial sync (attempt 1 of 10)
2017-06-07T13:24:08.879+0800 I REPL     [ReplicationExecutor] New replica set config in use: { _id: "rs0", version: 1, protocolVersion: 1, members: [ { _id: 0, host: "localhost:27017", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 }, { _id: 1, host: "localhost:27018", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 }, { _id: 2, host: "localhost:27019", arbiterOnly: false, buildIndexes: true, hidden: false, priority: 1.0, tags: {}, slaveDelay: 0, votes: 1 } ], settings: { chainingAllowed: true, heartbeatIntervalMillis: 2000, heartbeatTimeoutSecs: 10, electionTimeoutMillis: 10000, catchUpTimeoutMillis: 2000, getLastErrorModes: {}, getLastErrorDefaults: { w: 1, wtimeout: 0 }, replicaSetId: ObjectId('59378df6b6b7c67bb04f665a') } }
2017-06-07T13:24:08.879+0800 I REPL     [ReplicationExecutor] This node is localhost:27018 in the config
2017-06-07T13:24:08.879+0800 I REPL     [ReplicationExecutor] transition to STARTUP2
2017-06-07T13:24:08.880+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to localhost:27019
2017-06-07T13:24:08.889+0800 I REPL     [ReplicationExecutor] Member localhost:27017 is now in state SECONDARY
2017-06-07T13:24:08.895+0800 I ACCESS   [conn20] Successfully authenticated as principal __system on local
2017-06-07T13:24:08.906+0800 I ASIO     [NetworkInterfaceASIO-Replication-0] Successfully connected to localhost:27019, took 27ms (1 connections now open to localhost:27019)
2017-06-07T13:24:08.906+0800 I REPL     [ReplicationExecutor] Member localhost:27019 is now in state STARTUP2
2017-06-07T13:24:08.993+0800 I REPL     [replication-0] sync source candidate: localhost:27017
2017-06-07T13:24:08.993+0800 I STORAGE  [replication-0] dropAllDatabasesExceptLocal 1
2017-06-07T13:24:08.994+0800 I REPL     [replication-0] ******
2017-06-07T13:24:08.994+0800 I REPL     [replication-0] creating replication oplog of size: 192MB...
2017-06-07T13:24:09.020+0800 I STORAGE  [replication-0] Starting WiredTigerRecordStoreThread local.oplog.rs
2017-06-07T13:24:09.020+0800 I STORAGE  [replication-0] The size storer reports that the oplog contains 0 records totaling to 0 bytes
2017-06-07T13:24:09.020+0800 I STORAGE  [replication-0] Scanning the oplog to determine where to place markers for truncation
2017-06-07T13:24:09.252+0800 I REPL     [replication-0] ******
2017-06-07T13:24:09.252+0800 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to localhost:27017
2017-06-07T13:24:09.265+0800 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to localhost:27017, took 13ms (1 connections now open to localhost:27017)
2017-06-07T13:24:09.266+0800 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to localhost:27017
2017-06-07T13:24:09.288+0800 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to localhost:27017, took 22ms (2 connections now open to localhost:27017)
2017-06-07T13:24:09.288+0800 I REPL     [replication-1] CollectionCloner::start called, on ns:admin.system.version
2017-06-07T13:24:09.369+0800 I INDEX    [InitialSyncInserters-admin.system.version0] build index on: admin.system.version properties: { v: 2, key: { version: 1 }, name: "incompatible_with_version_32", ns: "admin.system.version" }
2017-06-07T13:24:09.369+0800 I INDEX    [InitialSyncInserters-admin.system.version0] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
2017-06-07T13:24:09.405+0800 I INDEX    [InitialSyncInserters-admin.system.version0] build index on: admin.system.version properties: { v: 1, key: { _id: 1 }, name: "_id_", ns: "admin.system.version" }
2017-06-07T13:24:09.405+0800 I INDEX    [InitialSyncInserters-admin.system.version0] 	 building index using bulk method; build may temporarily use up to 500 megabytes of RAM
2017-06-07T13:24:09.406+0800 I COMMAND  [InitialSyncInserters-admin.system.version0] setting featureCompatibilityVersion to 3.4
2017-06-07T13:24:09.452+0800 I REPL     [replication-1] No need to apply operations. (currently at { : Timestamp 1496813046000|1 })
2017-06-07T13:24:09.453+0800 I ASIO     [NetworkInterfaceASIO-RS-0] Ending connection to host localhost:27017 due to bad connection status; 1 connections to that host remain open
2017-06-07T13:24:09.453+0800 I REPL     [replication-1] Finished fetching oplog during initial sync: CallbackCanceled: Callback canceled. Last fetched optime and hash: { ts: Timestamp 1496813046000|1, t: -1 }[-2411143538025974029]
2017-06-07T13:24:09.453+0800 I REPL     [replication-1] Initial sync attempt finishing up.
2017-06-07T13:24:09.453+0800 I REPL     [replication-1] Initial Sync Attempt Statistics: { failedInitialSyncAttempts: 0, maxFailedInitialSyncAttempts: 10, initialSyncStart: new Date(1496813048879), initialSyncAttempts: [], fetchedMissingDocs: 0, appliedOps: 0, initialSyncOplogStart: Timestamp 1496813046000|1, initialSyncOplogEnd: Timestamp 1496813046000|1, databases: { databasesCloned: 1, admin: { collections: 1, clonedCollections: 1, start: new Date(1496813049277), end: new Date(1496813049451), elapsedMillis: 174, admin.system.version: { documentsToCopy: 1, documentsCopied: 1, indexes: 2, fetchedBatches: 1, start: new Date(1496813049288), end: new Date(1496813049451), elapsedMillis: 163 } } } }
2017-06-07T13:24:09.511+0800 I REPL     [replication-1] initial sync done; took 0s.
2017-06-07T13:24:09.511+0800 I REPL     [replication-1] Starting replication fetcher thread
2017-06-07T13:24:09.511+0800 I REPL     [replication-1] Starting replication applier thread
2017-06-07T13:24:09.511+0800 I REPL     [replication-1] Starting replication reporter thread
2017-06-07T13:24:09.511+0800 I REPL     [rsSync] transition to RECOVERING
2017-06-07T13:24:09.512+0800 I REPL     [rsBackgroundSync] could not find member to sync from
2017-06-07T13:24:09.512+0800 I REPL     [rsSync] transition to SECONDARY
2017-06-07T13:24:09.512+0800 I REPL     [ReplicationExecutor] Member localhost:27019 is now in state SECONDARY
2017-06-07T13:24:17.499+0800 I -        [conn18] end connection 127.0.0.1:58093 (2 connections now open)
2017-06-07T13:24:17.501+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58118 #21 (2 connections now open)
2017-06-07T13:24:17.501+0800 I NETWORK  [conn21] received client metadata from 127.0.0.1:58118 conn21: { driver: { name: "NetworkInterfaceASIO-Replication", version: "3.4.4" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "16.6.0" } }
2017-06-07T13:24:17.517+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58120 #22 (3 connections now open)
2017-06-07T13:24:17.517+0800 I NETWORK  [conn22] received client metadata from 127.0.0.1:58120 conn22: { driver: { name: "NetworkInterfaceASIO-Replication", version: "3.4.4" }, os: { type: "Darwin", name: "Mac OS X", architecture: "x86_64", version: "16.6.0" } }
2017-06-07T13:24:17.517+0800 I ACCESS   [conn21] Successfully authenticated as principal __system on local
2017-06-07T13:24:17.540+0800 I ACCESS   [conn22] Successfully authenticated as principal __system on local
2017-06-07T13:24:19.520+0800 I REPL     [ReplicationExecutor] Member localhost:27017 is now in state PRIMARY
2017-06-07T13:24:19.533+0800 I REPL     [rsBackgroundSync] sync source candidate: localhost:27017
2017-06-07T13:24:19.541+0800 I ASIO     [NetworkInterfaceASIO-RS-0] Connecting to localhost:27017
2017-06-07T13:24:19.566+0800 I ASIO     [NetworkInterfaceASIO-RS-0] Successfully connected to localhost:27017, took 25ms (2 connections now open to localhost:27017)
2017-06-07T13:24:41.798+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58133 #23 (4 connections now open)
2017-06-07T13:24:41.801+0800 I -        [conn23] AssertionException handling request, closing client connection: 17132 SSL handshake received but server is started without SSL support
2017-06-07T13:24:41.801+0800 I -        [conn23] end connection 127.0.0.1:58133 (4 connections now open)
2017-06-07T13:25:17.541+0800 I -        [conn21] end connection 127.0.0.1:58118 (3 connections now open)
2017-06-07T13:25:38.375+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58143 #24 (3 connections now open)
2017-06-07T13:25:38.378+0800 I -        [conn24] AssertionException handling request, closing client connection: 17132 SSL handshake received but server is started without SSL support
2017-06-07T13:25:38.378+0800 I -        [conn24] end connection 127.0.0.1:58143 (3 connections now open)
2017-06-07T13:26:40.398+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58161 #25 (3 connections now open)
2017-06-07T13:26:40.405+0800 I -        [conn25] AssertionException handling request, closing client connection: 17132 SSL handshake received but server is started without SSL support
2017-06-07T13:26:40.406+0800 I -        [conn25] end connection 127.0.0.1:58161 (3 connections now open)
2017-06-07T13:27:40.814+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58170 #26 (3 connections now open)
2017-06-07T13:27:40.816+0800 I -        [conn26] AssertionException handling request, closing client connection: 17132 SSL handshake received but server is started without SSL support
2017-06-07T13:27:40.816+0800 I -        [conn26] end connection 127.0.0.1:58170 (3 connections now open)
2017-06-07T13:28:43.008+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58184 #27 (3 connections now open)
2017-06-07T13:28:43.011+0800 I -        [conn27] AssertionException handling request, closing client connection: 17132 SSL handshake received but server is started without SSL support
2017-06-07T13:28:43.011+0800 I -        [conn27] end connection 127.0.0.1:58184 (3 connections now open)
2017-06-07T13:29:48.284+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58260 #28 (3 connections now open)
2017-06-07T13:29:48.286+0800 I -        [conn28] AssertionException handling request, closing client connection: 17132 SSL handshake received but server is started without SSL support
2017-06-07T13:29:48.287+0800 I -        [conn28] end connection 127.0.0.1:58260 (3 connections now open)
2017-06-07T13:30:41.698+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58269 #29 (3 connections now open)
2017-06-07T13:30:41.706+0800 I -        [conn29] AssertionException handling request, closing client connection: 17132 SSL handshake received but server is started without SSL support
2017-06-07T13:30:41.706+0800 I -        [conn29] end connection 127.0.0.1:58269 (3 connections now open)
2017-06-07T13:31:38.329+0800 I NETWORK  [thread1] connection accepted from 127.0.0.1:58278 #30 (3 connections now open)
2017-06-07T13:31:38.333+0800 I -        [conn30] AssertionException handling request, closing client connection: 17132 SSL handshake received but server is started without SSL support
2017-06-07T13:31:38.333+0800 I -        [conn30] end connection 127.0.0.1:58278 (3 connections now open)
